Operation	BookID	ISBN	Date	MemberID	Rating
Return	89	9470611320631	02/12/2020	Null	2
Return	125	9284849051182	02/12/2020	Null	2
Return	19	8373077182144	02/12/2020	Null	1
Checkout	18	8373077182144	23/3/2014	8972	Null
Checkout	50	8888514967473	15/12/2020	7530	Null
Checkout	59	7029623909847	21/9/2016	4090	Null
Checkout	21	8814940664964	18/4/2015	6036	Null
Checkout	10	6258622542068	16/11/2017	9341	Null
Checkout	96	7464338391063	7/11/2015	4196	Null
Checkout	112	8796709590234	4/3/2018	2871	Null
Checkout	73	1402082895766	21/8/2013	4279	Null
Checkout	76	8478296814952	12/7/2020	3714	Null
Checkout	101	4793854593159	1/10/2015	2018	Null
Checkout	118	8988568858391	21/3/2019	4091	Null
Checkout	31	3200503448595	22/7/2016	6886	Null
Checkout	11	6258622542068	24/2/2012	5673	Null
Checkout	2	3773739648655	29/4/2019	4955	Null
Checkout	19	8373077182144	10/9/2018	1877	Null
Checkout	5	3897532231260	22/8/2013	2606	Null
Checkout	12	6258622542068	10/10/2013	1961	Null
Checkout	149	1586946765570	8/3/2019	4265	Null
Checkout	87	9470611320631	30/1/2017	9119	Null
Checkout	44	2260775113642	18/12/2011	9527	Null
Checkout	103	4793854593159	9/8/2014	3480	Null
Checkout	99	7464338391063	5/11/2020	1554	Null
Checkout	143	8369103069593	30/4/2011	1930	Null
Checkout	56	7029623909847	26/10/2010	7555	Null
Checkout	117	8988568858391	11/11/2015	5296	Null
Checkout	132	8342771545971	1/3/2019	6565	Null
Checkout	52	8888514967473	13/4/2017	8017	Null
Checkout	129	9284849051182	13/7/2015	9631	Null
Checkout	130	8342771545971	2/2/2020	9421	Null
Checkout	139	1958206466218	16/1/2018	4632	Null
Checkout	110	8796709590234	12/1/2014	1300	Null
Checkout	66	3712366558666	21/5/2015	4390	Null
Checkout	41	2260775113642	13/4/2010	1914	Null
Checkout	86	9470611320631	8/7/2019	7080	Null
Checkout	85	9470611320631	13/2/2013	3442	Null
Checkout	141	8369103069593	24/10/2018	7686	Null
Checkout	4	3773739648655	17/5/2010	3469	Null
Checkout	48	9888633140450	14/1/2018	7609	Null
Checkout	80	2859309779833	10/7/2010	1543	Null
Checkout	36	9237967268433	15/8/2019	4774	Null
Checkout	61	9087590758582	9/4/2014	9121	Null
Checkout	13	6258622542068	29/9/2017	3771	Null
Checkout	37	9237967268433	5/4/2012	8678	Null
Checkout	108	8341321120106	14/9/2017	5651	Null
Checkout	95	7464338391063	17/4/2012	9670	Null
Checkout	63	9087590758582	17/3/2016	2569	Null
Checkout	23	8814940664964	15/4/2016	2725	Null
Checkout	62	9087590758582	4/7/2011	6534	Null
Checkout	133	8342771545971	7/2/2011	1851	Null
Checkout	45	9888633140450	13/12/2014	2575	Null
Checkout	6	3897532231260	22/12/2015	3423	Null
Checkout	9	3897532231260	22/7/2014	8983	Null
Checkout	84	2859309779833	13/1/2019	6147	Null
Checkout	136	1958206466218	5/12/2011	1366	Null
Checkout	70	1402082895766	16/4/2015	7116	Null
Checkout	119	8988568858391	16/5/2016	1792	Null
Checkout	138	1958206466218	28/11/2015	9042	Null
Checkout	105	8341321120106	19/11/2010	3417	Null
Checkout	58	7029623909847	1/10/2011	4404	Null
Checkout	100	4793854593159	7/4/2020	2364	Null
Checkout	116	8988568858391	13/10/2010	3030	Null
Checkout	55	7029623909847	26/1/2018	1625	Null
Checkout	90	4763656546182	28/7/2011	8078	Null
Checkout	114	8796709590234	24/5/2017	9042	Null
Checkout	120	3596400912373	10/5/2010	5104	Null
Checkout	29	1823293515687	5/5/2014	4795	Null
Checkout	104	4793854593159	30/1/2012	3330	Null
Checkout	88	9470611320631	22/8/2012	1440	Null
Checkout	47	9888633140450	5/2/2019	5513	Null
Checkout	109	8341321120106	4/3/2011	3270	Null
Checkout	137	1958206466218	5/10/2013	4349	Null
Checkout	28	1823293515687	16/4/2012	8977	Null
Checkout	94	4763656546182	26/9/2020	4233	Null
Checkout	42	2260775113642	30/1/2012	2997	Null
Checkout	102	4793854593159	3/12/2013	4238	Null
Checkout	7	3897532231260	13/8/2014	2760	Null
Checkout	115	8988568858391	23/7/2010	6909	Null
Checkout	79	8478296814952	4/5/2017	8679	Null
Checkout	125	9284849051182	7/8/2020	4327	Null
Checkout	3	3773739648655	24/2/2013	2774	Null
Checkout	78	8478296814952	16/5/2015	8901	Null
Checkout	131	8342771545971	17/9/2016	2741	Null
Checkout	17	8373077182144	28/2/2012	6123	Null
Checkout	83	2859309779833	2/7/2015	7994	Null
Checkout	39	9237967268433	17/10/2011	9668	Null
Checkout	34	3200503448595	12/6/2012	3956	Null
Checkout	122	3596400912373	8/11/2014	9003	Null
Return	62	9087590758582	02/12/2020	Null	1
Return	11	6258622542068	02/12/2020	Null	1
Return	86	9470611320631	02/12/2020	Null	5
Return	127	9284849051182	02/12/2020	Null	3
Return	44	2260775113642	02/12/2020	Null	4
Return	112	8796709590234	02/12/2020	Null	2
Return	80	2859309779833	02/12/2020	Null	2
Return	138	1958206466218	02/12/2020	Null	4
Return	139	1958206466218	02/12/2020	Null	3
Return	59	7029623909847	02/12/2020	Null	3
Return	74	1402082895766	02/12/2020	Null	4
Return	114	8796709590234	02/12/2020	Null	4
Return	50	8888514967473	02/12/2020	Null	5
Return	31	3200503448595	02/12/2020	Null	3
Return	126	9284849051182	02/12/2020	Null	3
Return	41	2260775113642	02/12/2020	Null	2
Return	94	4763656546182	02/12/2020	Null	5
Return	30	3200503448595	02/12/2020	Null	5
Return	96	7464338391063	02/12/2020	Null	2
Return	65	3712366558666	02/12/2020	Null	5
Return	117	8988568858391	02/12/2020	Null	4
Return	91	4763656546182	02/12/2020	Null	2
Return	84	2859309779833	02/12/2020	Null	2
Return	101	4793854593159	02/12/2020	Null	5
Return	87	9470611320631	02/12/2020	Null	4
Return	110	8796709590234	02/12/2020	Null	5
Return	118	8988568858391	02/12/2020	Null	1
Return	129	9284849051182	02/12/2020	Null	1
Return	149	1586946765570	02/12/2020	Null	3
Return	4	3773739648655	02/12/2020	Null	2
Return	141	8369103069593	02/12/2020	Null	5
Return	45	9888633140450	02/12/2020	Null	3
Return	99	7464338391063	02/12/2020	Null	1
Return	133	8342771545971	02/12/2020	Null	5
Return	76	8478296814952	02/12/2020	Null	5
Return	105	8341321120106	02/12/2020	Null	1
Return	28	1823293515687	02/12/2020	Null	1
Return	58	7029623909847	02/12/2020	Null	4
Return	125	9284849051182	02/12/2020	Null	3
Return	29	1823293515687	02/12/2020	Null	4
Return	123	3596400912373	02/12/2020	Null	5
Return	17	8373077182144	02/12/2020	Null	5
Return	34	3200503448595	02/12/2020	Null	4
Return	60	9087590758582	02/12/2020	Null	4
Return	143	8369103069593	02/12/2020	Null	5
Return	33	3200503448595	02/12/2020	Null	5
Return	23	8814940664964	02/12/2020	Null	2
Return	135	1958206466218	02/12/2020	Null	3
Return	103	4793854593159	02/12/2020	Null	3
Return	69	3712366558666	02/12/2020	Null	5
Return	75	8478296814952	02/12/2020	Null	2
Return	83	2859309779833	02/12/2020	Null	1
Return	131	8342771545971	02/12/2020	Null	5
Return	120	3596400912373	02/12/2020	Null	4
Return	61	9087590758582	02/12/2020	Null	4
Return	147	1586946765570	02/12/2020	Null	2
Return	134	8342771545971	02/12/2020	Null	1
Return	119	8988568858391	02/12/2020	Null	1
Return	102	4793854593159	02/12/2020	Null	2
Return	40	2260775113642	02/12/2020	Null	4
Return	6	3897532231260	02/12/2020	Null	2
Return	63	9087590758582	02/12/2020	Null	4
Return	42	2260775113642	02/12/2020	Null	5
Return	66	3712366558666	02/12/2020	Null	2
Return	100	4793854593159	02/12/2020	Null	1
Return	19	8373077182144	02/12/2020	Null	3
Return	81	2859309779833	02/12/2020	Null	2
Return	52	8888514967473	02/12/2020	Null	5
Return	116	8988568858391	02/12/2020	Null	1
Return	48	9888633140450	02/12/2020	Null	2
Return	38	9237967268433	02/12/2020	Null	2
Return	90	4763656546182	02/12/2020	Null	2
Return	77	8478296814952	02/12/2020	Null	4
Return	85	9470611320631	02/12/2020	Null	5
Return	130	8342771545971	02/12/2020	Null	3
Return	132	8342771545971	02/12/2020	Null	2
Return	56	7029623909847	02/12/2020	Null	1
Return	3	3773739648655	02/12/2020	Null	2
Return	95	7464338391063	02/12/2020	Null	1
Return	109	8341321120106	02/12/2020	Null	1
Return	39	9237967268433	02/12/2020	Null	1
Checkout	90	4763656546182	24/9/2018	6794	Null
Checkout	97	7464338391063	25/10/2016	5355	Null
Checkout	69	3712366558666	15/12/2015	7627	Null
Checkout	24	8814940664964	27/2/2016	3586	Null
Checkout	44	2260775113642	21/7/2010	7071	Null
Checkout	41	2260775113642	15/8/2019	6668	Null
Checkout	149	1586946765570	14/11/2013	9106	Null
Checkout	81	2859309779833	18/8/2019	9835	Null
Checkout	128	9284849051182	7/7/2013	5865	Null
Checkout	3	3773739648655	18/7/2020	9326	Null
Checkout	74	1402082895766	10/7/2020	1608	Null
Checkout	120	3596400912373	20/8/2013	2888	Null
Checkout	64	9087590758582	29/9/2017	9571	Null
Checkout	25	1823293515687	8/11/2013	1012	Null
Checkout	105	8341321120106	11/3/2019	2044	Null
Checkout	49	9888633140450	18/12/2018	3265	Null
Checkout	16	8373077182144	16/3/2014	5871	Null
Checkout	52	8888514967473	14/9/2013	7232	Null
Checkout	27	1823293515687	22/3/2018	9429	Null
Checkout	68	3712366558666	11/1/2019	2472	Null
Checkout	22	8814940664964	13/4/2010	1749	Null
Checkout	102	4793854593159	27/6/2019	9558	Null
Checkout	116	8988568858391	21/4/2012	5483	Null
Checkout	29	1823293515687	19/9/2018	4042	Null
Checkout	130	8342771545971	7/12/2010	3098	Null
Checkout	96	7464338391063	21/9/2012	6111	Null
Checkout	109	8341321120106	13/2/2010	7565	Null
Checkout	33	3200503448595	17/12/2013	8237	Null
Checkout	42	2260775113642	24/1/2014	2842	Null
Checkout	40	2260775113642	19/9/2014	7685	Null
Checkout	140	8369103069593	5/7/2017	3469	Null
Checkout	75	8478296814952	9/3/2018	4451	Null
Checkout	142	8369103069593	23/7/2016	7380	Null
Checkout	71	1402082895766	24/12/2014	2016	Null
Checkout	138	1958206466218	14/9/2011	9689	Null
Checkout	139	1958206466218	2/6/2013	6465	Null
Checkout	131	8342771545971	10/4/2013	7947	Null
Checkout	114	8796709590234	2/8/2012	8734	Null
Checkout	127	9284849051182	29/8/2015	4466	Null
Checkout	125	9284849051182	28/5/2018	1154	Null
Checkout	133	8342771545971	24/11/2011	9321	Null
Checkout	6	3897532231260	27/5/2017	5681	Null
Checkout	30	3200503448595	19/12/2014	6868	Null
Checkout	134	8342771545971	15/4/2011	7272	Null
Checkout	67	3712366558666	4/1/2013	3724	Null
Checkout	123	3596400912373	27/2/2013	9398	Null
Checkout	20	8814940664964	4/10/2017	7533	Null
Checkout	100	4793854593159	10/4/2013	2710	Null
Checkout	35	9237967268433	18/2/2013	2332	Null
Checkout	58	7029623909847	20/8/2016	9713	Null
Checkout	77	8478296814952	11/11/2018	9855	Null
Checkout	82	2859309779833	23/7/2017	2898	Null
Checkout	93	4763656546182	19/3/2020	7779	Null
Checkout	129	9284849051182	20/11/2011	8415	Null
Checkout	32	3200503448595	8/8/2012	2659	Null
Checkout	54	8888514967473	3/6/2010	9027	Null
Checkout	147	1586946765570	12/2/2013	4959	Null
Checkout	39	9237967268433	20/3/2013	3398	Null
Checkout	46	9888633140450	27/2/2013	4486	Null
Checkout	110	8796709590234	9/9/2010	7779	Null
Checkout	135	1958206466218	15/9/2013	2986	Null
Return	8	3897532231260	04/12/2020	Null	4
Return	12	6258622542068	04/12/2020	Null	4
Checkout	14	6258622542068	2/1/2020	1201	Null
Checkout	17	8373077182144	23/9/2018	1201	Null
Checkout	19	8373077182144	14/5/2017	1201	Null
Checkout	4	3773739648655	04/12/2020	9090	Null
Checkout	11	6258622542068	04/12/2020	9090	Null
Checkout	8	3897532231260	04/12/2020	9090	Null
Checkout	15	8373077182144	04/12/2020	9090	Null
Return	17	8373077182144	04/12/2020	Null	3
Return	16	8373077182144	04/12/2020	Null	3
Return	3	3773739648655	09/12/2020	Null	4
Return	5	3897532231260	09/12/2020	Null	4
Return	6	3897532231260	09/12/2020	Null	4
Return	9	3897532231260	09/12/2020	Null	4
Return	1	3773739648655	09/12/2020	Null	2
Return	100	4793854593159	09/12/2020	Null	5
Return	149	1586946765570	09/12/2020	Null	3
Checkout	1	3773739648655	09/12/2020	1000	Null
Checkout	100	4793854593159	09/12/2020	5000	Null
Checkout	149	1586946765570	09/12/2020	9999	Null
Return	1	3773739648655	09/12/2020	Null	4
Return	100	4793854593159	09/12/2020	Null	1
Return	149	1586946765570	09/12/2020	Null	4
Checkout	1	3773739648655	09/12/2020	1000	Null
Checkout	100	4793854593159	09/12/2020	5000	Null
Checkout	149	1586946765570	09/12/2020	9999	Null
Return	1	3773739648655	09/12/2020	Null	1
Return	100	4793854593159	09/12/2020	Null	2
Return	149	1586946765570	09/12/2020	Null	5
Checkout	1	3773739648655	09/12/2020	1000	Null
Checkout	100	4793854593159	09/12/2020	5000	Null
Checkout	149	1586946765570	09/12/2020	9999	Null
Return	1	3773739648655	09/12/2020	Null	3
Return	100	4793854593159	09/12/2020	Null	1
Return	149	1586946765570	09/12/2020	Null	4
Checkout	1	3773739648655	09/12/2020	1000	Null
Checkout	100	4793854593159	09/12/2020	5000	Null
Checkout	149	1586946765570	09/12/2020	9999	Null
Checkout	5	3897532231260	12/12/2020	1222	Null
Checkout	9	3897532231260	12/12/2020	1222	Null
Return	11	6258622542068	12/12/2020	Null	4
Return	14	6258622542068	12/12/2020	Null	4
Return	4	3773739648655	12/12/2020	Null	1
Checkout	6	3897532231260	12/12/2020	1233	Null
Return	10	6258622542068	12/12/2020	Null	4
Return	13	6258622542068	12/12/2020	Null	4
Checkout	16	8373077182144	12/12/2020	1233	Null
Checkout	4	3773739648655	12/12/2020	1233	Null
Checkout	10	6258622542068	12/12/2020	1233	Null
Checkout	13	6258622542068	12/12/2020	1233	Null
Return	16	8373077182144	12/12/2020	Null	4
