BookID	BookTitle	ISBN	Author	PurchaseDate	Status
78	Coraline	8478296814952	Robby Luedtke	17/6/2011	8901
79	Coraline	8478296814952	Robby Luedtke	17/6/2011	8679
80	Possession Blink	2859309779833	Sabra Cookson	20/1/2011	0
81	Possession Blink	2859309779833	Sabra Cookson	20/1/2011	9835
82	Possession Blink	2859309779833	Sabra Cookson	20/1/2011	2898
83	Possession Blink	2859309779833	Sabra Cookson	20/1/2011	0
84	Possession Blink	2859309779833	Sabra Cookson	20/1/2011	0
85	Firewall	9470611320631	Lady Bullen	30/4/1992	0
86	Firewall	9470611320631	Lady Bullen	30/4/1992	0
87	Firewall	9470611320631	Lady Bullen	30/4/1992	0
88	Firewall	9470611320631	Lady Bullen	30/4/1992	1440
89	Firewall	9470611320631	Lady Bullen	30/4/1992	0
90	Quentins Fingersmith	4763656546182	Blanca Hartig	21/10/1998	6794
91	Quentins Fingersmith	4763656546182	Blanca Hartig	21/10/1998	0
92	Quentins Fingersmith	4763656546182	Blanca Hartig	21/10/1998	0
93	Quentins Fingersmith	4763656546182	Blanca Hartig	21/10/1998	7779
94	Quentins Fingersmith	4763656546182	Blanca Hartig	21/10/1998	0
95	Siddhartha	7464338391063	Argentina Narciso	17/7/2015	0
96	Siddhartha	7464338391063	Argentina Narciso	17/7/2015	6111
97	Siddhartha	7464338391063	Argentina Narciso	17/7/2015	5355
98	Siddhartha	7464338391063	Argentina Narciso	17/7/2015	0
99	Siddhartha	7464338391063	Argentina Narciso	17/7/2015	0
100	Kitchen Diary	4793854593159	Lady Bullen	26/7/2011	5000
101	Kitchen Diary	4793854593159	Lady Bullen	26/7/2011	0
102	Kitchen Diary	4793854593159	Lady Bullen	26/7/2011	9558
103	Kitchen Diary	4793854593159	Lady Bullen	26/7/2011	0
104	Kitchen Diary	4793854593159	Lady Bullen	26/7/2011	3330
105	Kitchen Freedom	8341321120106	Holly Gaudreau	30/5/2005	2044
106	Kitchen Freedom	8341321120106	Holly Gaudreau	30/5/2005	0
107	Kitchen Freedom	8341321120106	Holly Gaudreau	30/5/2005	0
108	Kitchen Freedom	8341321120106	Holly Gaudreau	30/5/2005	5651
109	Kitchen Freedom	8341321120106	Holly Gaudreau	30/5/2005	7565
110	Weight Beauty	8796709590234	Talitha Jang	29/6/1981	7779
111	Weight Beauty	8796709590234	Talitha Jang	29/6/1981	4556
112	Weight Beauty	8796709590234	Talitha Jang	29/6/1981	0
113	Weight Beauty	8796709590234	Talitha Jang	29/6/1981	0
114	Weight Beauty	8796709590234	Talitha Jang	29/6/1981	8734
115	Penseés	8988568858391	Robby Luedtke	16/12/1984	6909
116	Penseés	8988568858391	Robby Luedtke	16/12/1984	5483
117	Penseés	8988568858391	Robby Luedtke	16/12/1984	0
118	Penseés	8988568858391	Robby Luedtke	16/12/1984	0
119	Penseés	8988568858391	Robby Luedtke	16/12/1984	0
120	Possession Angelica	3596400912373	Talitha Jang	25/11/2006	2888
121	Possession Angelica	3596400912373	Talitha Jang	25/11/2006	0
122	Possession Angelica	3596400912373	Talitha Jang	25/11/2006	9003
123	Possession Angelica	3596400912373	Talitha Jang	25/11/2006	9398
124	Possession Angelica	3596400912373	Talitha Jang	25/11/2006	0
125	Room Unstuck	9284849051182	Sabra Cookson	18/3/2012	1154
126	Room Unstuck	9284849051182	Sabra Cookson	18/3/2012	0
127	Room Unstuck	9284849051182	Sabra Cookson	18/3/2012	4466
128	Room Unstuck	9284849051182	Sabra Cookson	18/3/2012	5865
129	Room Unstuck	9284849051182	Sabra Cookson	18/3/2012	8415
130	Leadership	8342771545971	Talitha Jang	1/6/2016	3098
131	Leadership	8342771545971	Talitha Jang	1/6/2016	7947
132	Leadership	8342771545971	Talitha Jang	1/6/2016	0
133	Leadership	8342771545971	Talitha Jang	1/6/2016	9321
134	Leadership	8342771545971	Talitha Jang	1/6/2016	7272
135	Wicked Changeless	1958206466218	Talitha Jang	6/11/2015	2986
136	Wicked Changeless	1958206466218	Talitha Jang	6/11/2015	1366
137	Wicked Changeless	1958206466218	Talitha Jang	6/11/2015	4349
138	Wicked Changeless	1958206466218	Talitha Jang	6/11/2015	9689
139	Wicked Changeless	1958206466218	Talitha Jang	6/11/2015	6465
140	Splat Jumper	8369103069593	Arnold Rehn	13/7/1998	3469
141	Splat Jumper	8369103069593	Arnold Rehn	13/7/1998	0
142	Splat Jumper	8369103069593	Arnold Rehn	13/7/1998	7380
143	Splat Jumper	8369103069593	Arnold Rehn	13/7/1998	0
144	Splat Jumper	8369103069593	Arnold Rehn	13/7/1998	2867
145	Blameless Maskerade	1586946765570	Johna Darosa	23/5/1984	0
146	Blameless Maskerade	1586946765570	Johna Darosa	23/5/1984	5880
147	Blameless Maskerade	1586946765570	Johna Darosa	23/5/1984	4959
148	Blameless Maskerade	1586946765570	Johna Darosa	23/5/1984	0
149	Blameless Maskerade	1586946765570	Johna Darosa	23/5/1984	9999
